pokemon_name,card_id,card_number,set_name,set_slug,variant,rarity,currency,market,ebay_avg_price,ebay_low_price,ebay_high_price,ebay_sale_count,ebay_avg_1d,ebay_avg_7d,ebay_avg_30d,ebay_median_3d,ebay_median_7d,ebay_median_30d,tcgplayer_avg_price,tcgplayer_low_price,tcgplayer_high_price,tcgplayer_sale_count,tcgplayer_avg_1d,tcgplayer_avg_7d,tcgplayer_avg_30d,tcgplayer_median_3d,tcgplayer_median_7d,tcgplayer_median_30d,last_updated,image_url,popularity_rank,popularity_score
Charmander,019bffa9-14a4-732a-bc78-3b08db3020df,168/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,101.05,95.0,107.1,91.0,115.0,105.12357,101.41625,107.1,100.0,100.5,122.3,122.3,122.3,4630.0,122.3,119.53714,112.86,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/4a8f07785a61806c.webp,12.0,92.74
Charmander,019c3ac3-ec70-77fb-8940-5b2ccbed286f,004/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,2.2166667,2.0,2.42,195.0,1.69,2.7142856,3.058125,2.42,2.99,2.57,0.22,0.24,0.25,13724.0,0.21,0.19,0.20032258,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/af5c6ae366ab7d51.webp,12.0,92.74
Charmeleon,019bffa9-14a4-732a-bc78-3c15beffbf94,005/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,2.22,0.69,3.75,114.0,1.84,1.86,2.1472728,1.84,1.84,2.13,0.36,0.4,0.49,7405.0,0.35,0.3557143,0.35774192,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/88d7d19ac4ceb555.webp,26.0,83.5
Charmeleon,019bffab-58b9-77cf-912b-5066b0342295,169/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,74.83,74.83,74.83,415.0,82.05,74.725,75.301895,78.41,75.0,75.0,80.53,80.4,80.4,4750.0,80.86,81.76714,78.96774,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/857d68e31ab24d61.webp,26.0,83.5
Charmeleon,019c3ac3-ec70-77fb-8940-5f8cdc414f6f,005/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,1.5,1.5,1.5,195.0,1.55,1.84,2.3581817,1.63,1.685,1.83,0.24,0.15,0.2,10859.0,0.24,0.21714285,0.21612903,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/88d7d19ac4ceb555.webp,26.0,83.5
Charizard,019bffa9-14a4-732a-bc78-4162e56c717a,006/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Double Rare,USD,US,12.99,12.99,12.99,115.0,14.17,10.712857,9.116041,12.99,10.5,8.81,10.84,8.5,9.15,15742.0,11.08,10.812857,10.238387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/334b1a0d408f2245.webp,8.0,95.38
Charizard,019bffab-58b9-77cf-912b-4f5a68ebe26d,183/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Ultra Rare,USD,US,39.9775,34.91,47.0,351.0,42.0,46.927143,48.5004,39.0,41.995,47.53,47.89,57.99,57.99,4543.0,47.47,46.25714,46.790966,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/4170990e4a570504.webp,8.0,95.38
Charizard,019bffab-58b9-77cf-912b-acdfb23b0a46,199/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Special Illustration Rare,USD,US,407.185,398.75,420.0,397.0,420.0,397.56857,417.0422,410.0,400.0,420.0,493.96,400.0,492.54,3633.0,495.54,479.69287,449.23453,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/bcbd209ec5cc6e23.webp,8.0,95.38
Squirtle,019bffa9-14a4-732a-bc78-1bffe0c22807,007/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.4233334,1.3,3.48,235.0,1.355,1.9385715,1.9148214,1.99,1.99,1.99,0.38,0.09,0.5,13737.0,0.38,0.34714285,0.35580644,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/39654113e52c103e.webp,9.0,94.72
Squirtle,019bffa9-14a4-732a-bc78-1c1394fe521d,170/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,111.43,111.43,111.43,117.0,96.99,101.56357,101.905,100.995,99.985,100.0,114.44,114.44,114.44,4598.0,114.44,113.405716,105.619675,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/1a48a73947b5e9d2.webp,9.0,94.72
Squirtle,019c3ac3-ec70-77fb-8940-4a78f5e71678,007/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,3.532,1.29,6.7,149.0,2.02,2.2292857,1.8389584,2.02,2.005,1.89,0.27,0.25,0.25,20214.0,0.27,0.25285715,0.23258065,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/39654113e52c103e.webp,9.0,94.72
Wartortle,019bffa9-14a4-732a-bc78-20c883c6ed79,008/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.6733333,1.59,1.77,123.0,1.69,2.1185713,2.23375,1.68,1.68,1.84,0.65,0.3,0.76,7716.0,0.62,0.48714286,0.45322582,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/3376c2a8124f56a9.webp,37.0,76.24
Wartortle,019bffab-58b9-77cf-912b-91847f21db48,171/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,71.49,67.99,74.99,368.0,60.935,64.844284,65.53635,63.745,64.99,64.97,73.8,66.0,70.0,5070.0,74.68,75.58,70.31871,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/bcd800171e52065c.webp,37.0,76.24
Wartortle,019c3ac3-ec70-77fb-8940-4f2a5fbc2d49,008/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,2.69,2.69,2.69,65.0,2.69,2.357143,1.8955883,2.69,2.34,1.94,0.29,0.2,0.3,4080.0,0.3,0.26857144,0.26225805,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/3376c2a8124f56a9.webp,37.0,76.24
Blastoise,019bffa9-14a4-732a-bc78-246a146b9430,009/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Double Rare,USD,US,1.98,1.98,1.98,834.0,3.48,2.9835715,2.9809678,2.99,2.99,2.99,2.14,1.8,3.71,37707.0,2.19,2.0185714,1.9545162,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/44ed2c3258eb05ea.webp,6.0,96.7
Blastoise,019bffab-58b9-77cf-912b-472e246c214c,184/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Ultra Rare,USD,US,26.223333,23.99,29.0,277.0,24.0,24.283571,25.772083,25.34,26.315,25.72,29.45,26.99,26.99,4950.0,29.69,28.287144,28.168709,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/d2fc6dd2365dfffc.webp,6.0,96.7
Blastoise,019bffab-58b9-77cf-912b-b20ca9d1ce55,200/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Special Illustration Rare,USD,US,160.85,150.0,171.7,473.0,129.5,145.995,150.37982,140.0,148.875,151.5,153.3,140.0,149.99,4418.0,153.3,153.55142,154.97548,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/33e46dc6cf7cc81e.webp,6.0,96.7
Caterpie,019bffa9-14a4-732a-bc78-443840fa5c9f,010/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,1.32,1.32,1.32,43.0,1.79,1.47,1.47,1.32,1.555,1.39,0.28,0.15,0.29,4450.0,0.29,0.2957143,0.26967743,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/8057cee6e86f7338.webp,112.0,26.74
Caterpie,019bffab-58b9-77cf-912b-48a12d7554db,172/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Illustration Rare,USD,US,17.5,17.5,17.5,445.0,18.495,18.370714,18.61923,18.99,18.0,18.5,18.6,17.96,18.15,6596.0,18.59,17.797142,18.166775,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ad813b130b5eb8d9.webp,112.0,26.74
Caterpie,019c3ac3-ec70-77fb-8940-63f4f6d4510e,010/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,1.08,1.08,1.08,30.0,0.99,1.3271428,1.3271428,1.08,1.035,1.25,0.09,0.02,0.25,4868.0,0.08,0.09428571,0.12516129,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/8057cee6e86f7338.webp,112.0,26.74
Metapod,019bffa9-14a4-732a-bc78-49c947747c29,011/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.99,2.99,2.99,110.0,3.56,2.9757142,2.7643332,2.99,3.275,2.8,6.65,3.64,3.64,5458.0,6.76,4.2885714,3.086129,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/f79794e7812f50fb.webp,145.0,4.96
Metapod,019c3ac3-ec70-77fb-8940-6498cbe1e4ff,011/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,4.74,4.74,4.74,62.0,3.0,4.2660003,4.2660003,4.74,3.87,4.74,0.21,0.12,0.79,1605.0,0.17,0.18714286,0.1967742,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/f79794e7812f50fb.webp,145.0,4.96
Butterfree,019bffa9-14a4-732a-bc78-4ce9714e9ab2,012/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.5,1.5,1.5,67.0,,,,1.995,1.995,2.04,0.26,0.18,0.34,4694.0,0.25,0.24428572,0.27870968,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/81782d0e4cf8291f.webp,56.0,63.7
Butterfree,019c3ac3-ec70-77fb-8940-6a528f29acff,012/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,1.25,1.25,1.25,34.0,1.19,1.4475,1.4475,1.25,1.22,1.34,0.17,0.4,0.4,4897.0,0.15,0.14571428,0.16419356,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/81782d0e4cf8291f.webp,56.0,63.7
Weedle,019bffa9-14a4-732a-bc78-53cf94185790,013/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,1.99,1.49,2.49,40.0,2.1,1.7014285,1.7014285,2.1,2.1,1.49,0.24,0.2,0.4,3952.0,0.24,0.26285714,0.26225805,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/8200be3318d008af.webp,143.0,6.28
Weedle,019c3ac3-ec70-77fb-8940-6deb45a91cce,013/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,2.67,2.67,2.67,22.0,1.615,1.73875,1.73875,2.67,2.67,1.98,0.13,0.01,0.25,1833.0,0.13,0.11571429,0.12096774,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/8200be3318d008af.webp,143.0,6.28
Kakuna,019bffa9-14a4-732a-bc78-5634c77c4624,014/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.82,2.69,2.95,109.0,4.54,3.1257143,2.91,3.515,2.99,2.97,2.67,1.15,2.77,5141.0,2.77,3.2228572,3.4167743,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/1361f1f113bcdabc.webp,149.0,2.32
Kakuna,019c3ac3-ec70-77fb-8940-73139cade4b3,014/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,1.57,1.57,1.57,66.0,1.5,1.5671428,1.6784616,1.535,1.5,1.57,0.21,0.4,0.4,1526.0,0.19,0.18428572,0.18741935,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/1361f1f113bcdabc.webp,149.0,2.32
Beedrill,019bffa9-14a4-732a-bc78-5a801a50a796,015/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Rare,USD,US,1.99,1.99,1.99,115.0,2.205,2.1914287,2.128182,1.99,1.99,1.99,3.16,1.5,2.0,5261.0,3.08,3.2985713,1.8190323,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/74a930946a2a4a87.webp,81.0,47.2
Beedrill,019c3ac3-ec70-77fb-8940-74ed7983c636,015/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Holofoil,Rare,USD,US,1.49,1.49,1.49,82.0,1.29,1.89,1.7557693,1.39,1.735,1.57,0.28,0.28,0.28,7604.0,0.28,0.27571428,0.25935483,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/74a930946a2a4a87.webp,81.0,47.2
Pidgey,019bffa9-14a4-732a-bc78-5d5540e2b6b5,016/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,1.5,1.5,1.5,86.0,1.99,1.9257143,1.8445455,1.5,1.94,1.89,0.29,0.1,0.32,5560.0,0.29,0.3,0.30451614,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/a3bac15787b6b969.webp,113.0,26.08
Pidgey,019c3ac3-ec70-77fb-8940-7988d6750108,016/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,0.72,0.72,0.72,36.0,1.25,1.2175,1.2175,0.72,0.72,1.25,0.2,0.2,0.2,11178.0,0.2,0.21714285,0.20709677,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/a3bac15787b6b969.webp,113.0,26.08
Pidgey,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.96,2.96,2.96,122.0,3.6,2.982857,3.613077,3.28,2.96,3.0,3.65,4.99,5.88,5881.0,3.51,3.6014285,3.548387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,113.0,26.08
Pidgey,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.105,0.72,1.49,57.0,1.49,1.8707143,1.8659091,1.49,1.49,1.75,0.3,0.29,0.31,4488.0,0.3,0.27857143,0.30322582,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,113.0,26.08
Pidgey,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,4.49,4.49,4.49,63.0,1.0,2.6808333,2.6808333,2.745,1.0,2.49,0.28,0.3,0.31,11249.0,0.28,0.28285715,0.30387098,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,113.0,26.08
Pidgey,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,0.99,0.99,0.99,37.0,1.5,1.745,1.745,0.99,0.99,1.5,0.12,0.12,0.25,4631.0,0.12,0.13571429,0.1448387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,113.0,26.08
Pidgeotto,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.96,2.96,2.96,122.0,3.6,2.982857,3.613077,3.28,2.96,3.0,3.65,4.99,5.88,5881.0,3.51,3.6014285,3.548387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,69.0,55.12
Pidgeotto,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,4.49,4.49,4.49,63.0,1.0,2.6808333,2.6808333,2.745,1.0,2.49,0.28,0.3,0.31,11249.0,0.28,0.28285715,0.30387098,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,69.0,55.12
Pidgeotto,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.105,0.72,1.49,57.0,1.49,1.8707143,1.8659091,1.49,1.49,1.75,0.3,0.29,0.31,4488.0,0.3,0.27857143,0.30322582,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,69.0,55.12
Pidgeotto,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,0.99,0.99,0.99,37.0,1.5,1.745,1.745,0.99,0.99,1.5,0.12,0.12,0.25,4631.0,0.12,0.13571429,0.1448387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,69.0,55.12
Pidgeot,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,1.105,0.72,1.49,57.0,1.49,1.8707143,1.8659091,1.49,1.49,1.75,0.3,0.29,0.31,4488.0,0.3,0.27857143,0.30322582,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,34.0,78.22
Pidgeot,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,0.99,0.99,0.99,37.0,1.5,1.745,1.745,0.99,0.99,1.5,0.12,0.12,0.25,4631.0,0.12,0.13571429,0.1448387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/234be8b77d2c8f85.webp,34.0,78.22
Pidgeot,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.96,2.96,2.96,122.0,3.6,2.982857,3.613077,3.28,2.96,3.0,3.65,4.99,5.88,5881.0,3.51,3.6014285,3.548387,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,34.0,78.22
Pidgeot,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,4.49,4.49,4.49,63.0,1.0,2.6808333,2.6808333,2.745,1.0,2.49,0.28,0.3,0.31,11249.0,0.28,0.28285715,0.30387098,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/ecb0a3bf0b9097bb.webp,34.0,78.22
Rattata,019bffa9-14a4-732a-bc78-6b1be8ee84cb,019/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,2.08,2.08,2.08,33.0,0.99,2.452,2.452,2.08,2.08,1.77,0.26,0.29,0.3,3779.0,0.28,0.26142856,0.24645162,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/893f67b4153b6561.webp,150.0,1.66
Rattata,019c3ac3-ec70-77fb-8940-86c6e61b75d8,019/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,0.99,0.99,0.99,23.0,1.25,1.3542857,1.3542857,0.99,0.99,1.25,0.08,0.08,0.08,3986.0,0.08,0.08,0.091290325,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/893f67b4153b6561.webp,150.0,1.66
Raticate,019bffa9-14a4-732a-bc78-6c96b4f92d31,020/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,0.72,0.72,0.72,34.0,1.66,1.5285714,1.52,1.66,1.325,1.46,0.29,0.29,0.3,3682.0,0.28,0.26142856,0.21483871,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/eb4ca42b6eab71e1.webp,146.0,4.3
Raticate,019c3ac3-ec70-77fb-8940-8a3aa70367cb,020/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,1.74,1.5,1.98,25.0,1.06,1.52,1.52,1.5,1.5,1.5,0.11,0.11,0.11,3941.0,0.11,0.10285714,0.09387097,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/eb4ca42b6eab71e1.webp,146.0,4.3
Spearow,019bffa9-14a4-732a-bc78-73aa5b0732a0,021/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Common,USD,US,1.99,1.99,1.99,105.0,4.03,2.895,2.7879167,1.99,2.475,2.295,1.47,1.25,2.16,4848.0,1.38,1.3714286,1.3041935,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/640883e43061f96d.webp,147.0,3.64
Spearow,019c3ac3-ec70-77fb-8940-8c16c4695204,021/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Common,USD,US,2.69,2.69,2.69,57.0,1.25,1.621,1.621,2.69,2.69,1.29,0.14,0.1,0.1,3818.0,0.14,0.1,0.10967742,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/640883e43061f96d.webp,147.0,3.64
Fearow,019bffa9-14a4-732a-bc78-7528b0c15c7d,022/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Reverse_Holofoil,Uncommon,USD,US,0.99,0.99,0.99,39.0,,,,0.99,0.99,0.99,0.27,0.24,0.3,3594.0,0.26,0.25285715,0.21612903,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/c7798f0324a4968d.webp,130.0,14.86
Fearow,019c3ac3-ec70-77fb-8940-92770f3a07d1,022/165,SV: Scarlet & Violet 151,sv-scarlet-and-violet-151,Normal,Uncommon,USD,US,1.98,1.98,1.98,15.0,1.0,1.49,1.49,1.98,1.98,1.0,0.19,0.15,0.15,3571.0,0.19,0.16285715,0.13903226,,,,2026-05-25T21:28:58.987Z,https://cdn.poketrace.com/cards/c7798f0324a4968d.webp,130.0,14.86
