pokemon_name,card_id,card_number,set_name,rarity,variant,popularity_rank,popularity_score,market_avg_price,ebay_avg_price,tcgplayer_avg_price,market_avg_7d_price,market_avg_30d_price,ebay_avg_7d,ebay_avg_30d,tcgplayer_avg_7d,tcgplayer_avg_30d,total_sales,ebay_sale_count,tcgplayer_sale_count,ebay_premium,ebay_low_price,ebay_median_3d,ebay_median_7d,ebay_median_30d,ebay_high_price,tcgplayer_low_price,tcgplayer_median_3d,tcgplayer_median_7d,tcgplayer_median_30d,tcgplayer_high_price,price_7d_avg,price_30d_avg,price_90d_avg,price_1y_avg,price_momentum,price_volatility
Caterpie,019bffa9-14a4-732a-bc78-443840fa5c9f,010/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,112.0,26.74,0.8,1.32,0.28,0.88285715,0.869838715,1.47,1.47,0.2957143,0.26967743,4493.0,43.0,4450.0,1.04,1.32,1.32,1.555,1.39,1.32,0.15,,,,0.29,0.4055555555555556,0.4276666666666666,0.4276666666666666,0.4276666666666666,-34.52844894777862,0.4232035731983085
Caterpie,019bffab-58b9-77cf-912b-48a12d7554db,172/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,112.0,26.74,18.05,17.5,18.6,18.083928,18.3930025,18.370714,18.61923,17.797142,18.166775,7041.0,445.0,6596.0,-1.1000000000000014,17.5,18.99,18.0,18.5,17.5,17.96,,,,18.15,18.173523857142857,18.645061133333332,18.645061133333332,18.645061133333332,-0.24167865694347906,1.2945370056835184
Caterpie,019c3ac3-ec70-77fb-8940-63f4f6d4510e,010/165,SV: Scarlet & Violet 151,Common,Normal,112.0,26.74,0.5850000000000001,1.08,0.09,0.7107142550000001,0.7261520450000001,1.3271428,1.3271428,0.09428571,0.12516129,4898.0,30.0,4868.0,0.99,1.08,1.08,1.035,1.25,1.08,0.02,,,,0.25,0.1,0.342258064516129,0.342258064516129,0.342258064516129,-73.70405278039584,0.5387312853821118
Metapod,019bffa9-14a4-732a-bc78-49c947747c29,011/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,145.0,4.96,4.82,2.99,6.65,3.6321428,2.9252311,2.9757142,2.7643332,4.2885714,3.086129,5568.0,110.0,5458.0,-3.66,2.99,2.99,3.275,2.8,2.99,3.64,,,,3.64,3.928000000000001,3.131935483870967,3.131935483870967,3.131935483870967,112.32876712328772,1.0551000564080442
Metapod,019c3ac3-ec70-77fb-8940-6498cbe1e4ff,011/165,SV: Scarlet & Violet 151,Common,Normal,145.0,4.96,2.475,4.74,0.21,2.22657158,2.23138725,4.2660003,4.2660003,0.18714286,0.1967742,1667.0,62.0,1605.0,4.53,4.74,4.74,3.87,4.74,4.74,0.12,,,,0.79,0.6922222222222222,0.8723333333333334,0.8723333333333334,0.8723333333333334,-75.92663354986627,1.6050280550418001
Butterfree,019bffa9-14a4-732a-bc78-4ce9714e9ab2,012/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,56.0,63.7,0.88,1.5,0.26,0.24428572,0.27870968,,,0.24428572,0.27870968,4761.0,67.0,4694.0,1.24,1.5,1.995,1.995,2.04,1.5,0.18,,,,0.34,0.598,0.6013333333333333,0.6013333333333333,0.6013333333333333,149.4456762749446,0.702221761481977
Butterfree,019c3ac3-ec70-77fb-8940-6a528f29acff,012/165,SV: Scarlet & Violet 151,Uncommon,Normal,56.0,63.7,0.71,1.25,0.17,0.79660714,0.80584678,1.4475,1.4475,0.14571428,0.16419356,4931.0,34.0,4897.0,1.08,1.25,1.25,1.22,1.34,1.25,0.4,,,,0.4,0.14,0.23800000000000002,0.23800000000000002,0.23800000000000002,-28.57142857142857,0.27656015121737854
Weedle,019bffa9-14a4-732a-bc78-53cf94185790,013/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,143.0,6.28,1.115,1.99,0.24,0.98214282,0.981843275,1.7014285,1.7014285,0.26285714,0.26225805,3992.0,40.0,3952.0,1.75,1.49,2.1,2.1,1.49,2.49,0.2,,,,0.4,0.622,0.5123333333333333,0.5123333333333333,0.5123333333333333,-53.1554977228367,0.5947452849943314
Weedle,019c3ac3-ec70-77fb-8940-6deb45a91cce,013/165,SV: Scarlet & Violet 151,Common,Normal,143.0,6.28,1.4,2.67,0.13,0.927232145,0.92985887,1.73875,1.73875,0.11571429,0.12096774,1855.0,22.0,1833.0,2.54,2.67,2.67,2.67,1.98,2.67,0.01,,,,0.25,0.40111111111111114,0.368,0.368,0.368,-64.67391304347827,0.6718330560283662
Kakuna,019bffa9-14a4-732a-bc78-5634c77c4624,014/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,149.0,2.32,2.745,2.82,2.67,3.17428575,3.16338715,3.1257143,2.91,3.2228572,3.4167743,5250.0,109.0,5141.0,0.1499999999999999,2.69,3.515,2.99,2.97,2.95,1.15,,,,2.77,3.396,3.3256666666666663,3.3256666666666663,3.3256666666666663,-19.7153452941766,0.6963336662209028
Kakuna,019c3ac3-ec70-77fb-8940-73139cade4b3,014/165,SV: Scarlet & Violet 151,Common,Normal,149.0,2.32,0.89,1.57,0.21,0.8757142600000001,0.932940475,1.5671428,1.6784616,0.18428572,0.18741935,1592.0,66.0,1526.0,1.36,1.57,1.535,1.5,1.57,1.57,0.4,,,,0.4,0.18,0.4726666666666668,0.4726666666666668,0.4726666666666668,-55.57122708039495,0.6025573850670578
Beedrill,019bffa9-14a4-732a-bc78-5a801a50a796,015/165,SV: Scarlet & Violet 151,Rare,Reverse_Holofoil,81.0,47.2,2.575,1.99,3.16,2.745,1.97360715,2.1914287,2.128182,3.2985713,1.8190323,5376.0,115.0,5261.0,-1.1700000000000002,1.99,1.99,1.99,1.99,1.99,1.5,,,,2.0,3.183333333333333,2.044731183870968,2.044731183870968,2.044731183870968,54.54354219891484,0.963651052573206
Beedrill,019c3ac3-ec70-77fb-8940-74ed7983c636,015/165,SV: Scarlet & Violet 151,Rare,Holofoil,81.0,47.2,0.885,1.49,0.28,1.08285714,1.007562065,1.89,1.7557693,0.27571428,0.25935483,7686.0,82.0,7604.0,1.21,1.49,1.39,1.735,1.57,1.49,0.28,,,,0.28,1.03,0.8301666666666667,0.8301666666666667,0.8301666666666667,-66.27183296526802,0.8446285485688199
Pidgey,019bffa9-14a4-732a-bc78-5d5540e2b6b5,016/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,113.0,26.08,0.895,1.5,0.29,1.11285715,1.07453082,1.9257143,1.8445455,0.3,0.30451614,5646.0,86.0,5560.0,1.21,1.5,1.5,1.94,1.89,1.5,0.1,,,,0.32,0.8016666666666667,0.7466666666666666,0.7466666666666666,0.7466666666666666,-61.16071428571428,0.7724182060629275
Pidgey,019c3ac3-ec70-77fb-8940-7988d6750108,016/165,SV: Scarlet & Violet 151,Common,Normal,113.0,26.08,0.4599999999999999,0.72,0.2,0.717321425,0.712298385,1.2175,1.2175,0.21714285,0.20709677,11214.0,36.0,11178.0,0.52,0.72,0.72,0.72,1.25,0.72,0.2,,,,0.2,0.2733333333333333,0.3453333333333333,0.3453333333333333,0.3453333333333333,-42.08494208494208,0.36934922576704105
Pidgey,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,113.0,26.08,3.305,2.96,3.65,3.29214275,3.580732,2.982857,3.613077,3.6014285,3.548387,6003.0,122.0,5881.0,-0.69,2.96,3.28,2.96,3.0,2.96,4.99,,,,5.88,3.4109090909090907,3.4948888933333335,3.4948888933333335,3.4948888933333335,4.438227119681779,0.5094439399933164
Pidgey,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,113.0,26.08,0.7025,1.105,0.3,1.074642865,1.08456746,1.8707143,1.8659091,0.27857143,0.30322582,4545.0,57.0,4488.0,0.8049999999999999,0.72,1.49,1.49,1.75,1.49,0.29,,,,0.31,0.4845,0.5780645161290323,0.5780645161290323,0.5780645161290323,-48.102678571428584,0.5905459019971194
Pidgey,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,Common,Normal,113.0,26.08,2.385,4.49,0.28,1.481845225,1.4923521400000002,2.6808333,2.6808333,0.28285715,0.30387098,11312.0,63.0,11249.0,4.21,4.49,2.745,1.0,2.49,4.49,0.3,,,,0.31,0.7981818181818181,0.5396666666666666,0.5396666666666666,0.5396666666666666,-48.11612106238418,0.8132119515605508
Pidgey,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,Uncommon,Normal,113.0,26.08,0.5549999999999999,0.99,0.12,0.940357145,0.94491935,1.745,1.745,0.13571429,0.1448387,4668.0,37.0,4631.0,0.87,0.99,0.99,0.99,1.5,0.99,0.12,,,,0.25,0.1375,0.263,0.263,0.263,-54.372623574144484,0.37065784947753416
Pidgeotto,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,69.0,55.12,3.305,2.96,3.65,3.29214275,3.580732,2.982857,3.613077,3.6014285,3.548387,6003.0,122.0,5881.0,-0.69,2.96,3.28,2.96,3.0,2.96,4.99,,,,5.88,3.4109090909090907,3.4948888933333335,3.4948888933333335,3.4948888933333335,4.438227119681779,0.5094439399933164
Pidgeotto,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,Common,Normal,69.0,55.12,2.385,4.49,0.28,1.481845225,1.4923521400000002,2.6808333,2.6808333,0.28285715,0.30387098,11312.0,63.0,11249.0,4.21,4.49,2.745,1.0,2.49,4.49,0.3,,,,0.31,0.7981818181818181,0.5396666666666666,0.5396666666666666,0.5396666666666666,-48.11612106238418,0.8132119515605508
Pidgeotto,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,69.0,55.12,0.7025,1.105,0.3,1.074642865,1.08456746,1.8707143,1.8659091,0.27857143,0.30322582,4545.0,57.0,4488.0,0.8049999999999999,0.72,1.49,1.49,1.75,1.49,0.29,,,,0.31,0.4845,0.5780645161290323,0.5780645161290323,0.5780645161290323,-48.102678571428584,0.5905459019971194
Pidgeotto,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,Uncommon,Normal,69.0,55.12,0.5549999999999999,0.99,0.12,0.940357145,0.94491935,1.745,1.745,0.13571429,0.1448387,4668.0,37.0,4631.0,0.87,0.99,0.99,0.99,1.5,0.99,0.12,,,,0.25,0.1375,0.263,0.263,0.263,-54.372623574144484,0.37065784947753416
Pidgeot,019bffa9-14a4-732a-bc78-66ac961e9fd8,018/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,34.0,78.22,0.7025,1.105,0.3,1.074642865,1.08456746,1.8707143,1.8659091,0.27857143,0.30322582,4545.0,57.0,4488.0,0.8049999999999999,0.72,1.49,1.49,1.75,1.49,0.29,,,,0.31,0.4845,0.5780645161290323,0.5780645161290323,0.5780645161290323,-48.102678571428584,0.5905459019971194
Pidgeot,019c3ac3-ec70-77fb-8940-811d1995bd60,018/165,SV: Scarlet & Violet 151,Uncommon,Normal,34.0,78.22,0.5549999999999999,0.99,0.12,0.940357145,0.94491935,1.745,1.745,0.13571429,0.1448387,4668.0,37.0,4631.0,0.87,0.99,0.99,0.99,1.5,0.99,0.12,,,,0.25,0.1375,0.263,0.263,0.263,-54.372623574144484,0.37065784947753416
Pidgeot,019bffa9-14a4-732a-bc78-634cdad182b5,017/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,34.0,78.22,3.305,2.96,3.65,3.29214275,3.580732,2.982857,3.613077,3.6014285,3.548387,6003.0,122.0,5881.0,-0.69,2.96,3.28,2.96,3.0,2.96,4.99,,,,5.88,3.4109090909090907,3.4948888933333335,3.4948888933333335,3.4948888933333335,4.438227119681779,0.5094439399933164
Pidgeot,019c3ac3-ec70-77fb-8940-7c6de8279b3e,017/165,SV: Scarlet & Violet 151,Common,Normal,34.0,78.22,2.385,4.49,0.28,1.481845225,1.4923521400000002,2.6808333,2.6808333,0.28285715,0.30387098,11312.0,63.0,11249.0,4.21,4.49,2.745,1.0,2.49,4.49,0.3,,,,0.31,0.7981818181818181,0.5396666666666666,0.5396666666666666,0.5396666666666666,-48.11612106238418,0.8132119515605508
Rattata,019bffa9-14a4-732a-bc78-6b1be8ee84cb,019/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,150.0,1.66,1.17,2.08,0.26,1.35671428,1.34922581,2.452,2.452,0.26142856,0.24645162,3812.0,33.0,3779.0,1.82,2.08,2.08,2.08,1.77,2.08,0.29,,,,0.3,0.4655555555555556,0.6113333333333336,0.6113333333333336,0.6113333333333336,-57.47001090512542,1.1239853150756673
Rattata,019c3ac3-ec70-77fb-8940-86c6e61b75d8,019/165,SV: Scarlet & Violet 151,Common,Normal,150.0,1.66,0.535,0.99,0.08,0.71714285,0.7227880124999999,1.3542857,1.3542857,0.08,0.091290325,4009.0,23.0,3986.0,0.91,0.99,0.99,0.99,1.25,0.99,0.08,,,,0.08,0.08,0.22699999999999998,0.22699999999999998,0.22699999999999998,-64.75770925110132,0.361177671437241
Raticate,019bffa9-14a4-732a-bc78-6c96b4f92d31,020/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,146.0,4.3,0.505,0.72,0.29,0.8949999799999999,0.867419355,1.5285714,1.52,0.26142856,0.21483871,3716.0,34.0,3682.0,0.43,0.72,1.66,1.325,1.46,0.72,0.29,,,,0.3,0.5527272727272727,0.5236666666666666,0.5236666666666666,0.5236666666666666,-44.62126034373011,0.660796193387494
Raticate,019c3ac3-ec70-77fb-8940-8a3aa70367cb,020/165,SV: Scarlet & Violet 151,Uncommon,Normal,146.0,4.3,0.925,1.74,0.11,0.81142857,0.806935485,1.52,1.52,0.10285714,0.09387097,3966.0,25.0,3941.0,1.63,1.5,1.5,1.5,1.5,1.98,0.11,,,,0.11,0.10125,0.19666666666666668,0.19666666666666668,0.19666666666666668,-44.067796610169495,0.38863450903026536
Spearow,019bffa9-14a4-732a-bc78-73aa5b0732a0,021/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,147.0,3.64,1.73,1.99,1.47,2.1332143,2.0460551,2.895,2.7879167,1.3714286,1.3041935,4953.0,105.0,4848.0,0.52,1.99,1.99,2.475,2.295,1.99,1.25,,,,2.16,1.859615384615385,1.6898333333333335,1.6898333333333335,1.6898333333333335,-13.009172502219165,0.8740497138600589
Spearow,019c3ac3-ec70-77fb-8940-8c16c4695204,021/165,SV: Scarlet & Violet 151,Common,Normal,147.0,3.64,1.415,2.69,0.14,0.8605,0.86533871,1.621,1.621,0.1,0.10967742,3875.0,57.0,3818.0,2.55,2.69,2.69,2.69,1.29,2.69,0.1,,,,0.1,0.38333333333333336,0.3268333333333333,0.3268333333333333,0.3268333333333333,-57.16471188169301,0.595677654286353
Fearow,019bffa9-14a4-732a-bc78-7528b0c15c7d,022/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,130.0,14.86,0.63,0.99,0.27,0.25285715,0.21612903,,,0.25285715,0.21612903,3633.0,39.0,3594.0,0.72,0.99,0.99,0.99,0.99,0.99,0.24,,,,0.3,0.3266666666666667,0.24333333333333335,0.24333333333333335,0.24333333333333335,10.958904109589044,0.14408650020119818
